sku,fetch_date,price,carat,cut,color,clarity,depth,tableth,girdle,symmetry,polish,culet,fluorescence,length,width,height,lnwdthratio,shape,pricePerCarat,certLab,certPresent
LD02760103,28/08/2012,1935,0.6,Ideal,G,SI1,60.4,59,Medium to Medium,Excellent,Excellent,None,None,5.45,5.47,3.3,1,RD,3225,GIA,"true"
LD02735387,16/08/2012,461,0.3,Very Good,F,VS1,62.8,57,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.28,4.3,2.69,1,RD,1537,GIA,"true"
LD02652663,01/07/2012,624,0.32,Ideal,E,VS2,62.1,57,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.39,4.36,2.72,1.01,RD,1950,GIA,"true"
LD02729350,11/08/2012,1560,0.5,Good,E,VVS2,66.7,56,Medium to Extremely Thick,Good,Very Good,None,None,5.89,4.43,2.96,1.33,OV,3120,GIA,"true"
LD02765565,31/08/2012,7272,1.01,Very Good,G,VVS1,61.5,62,Thick to Very Thick,Very Good,Excellent,None,None,10.04,5.37,3.3,1.87,MQ,7200,GIA,"true"
LD02706394,29/07/2012,49671,2.69,Very Good,F,VVS2,64.1,57,Slightly Thick to Thick,Excellent,Excellent,None,Strong,8.69,8.73,5.58,1,RD,18465,GIA,"true"
LD02701744,26/07/2012,986,0.41,Ideal,F,VS1,62,57,Medium to Slightly Thick,Excellent,Excellent,None,None,4.77,4.79,2.96,1,RD,2405,GIA,"true"
LD02743325,22/08/2012,2409,0.73,Ideal,I,SI1,62.5,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.76,5.74,3.59,1,RD,3300,GIA,"true"
LD02694925,24/07/2012,2086,0.5,Signature Ideal,F,VS2,61.4,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.12,5.14,3.15,1,RD,4172,GIA,"true"
LD02675316,11/07/2012,2244,0.6,Very Good,H,VS1,60,58,Medium to Slightly Thick,Excellent,Excellent,None,None,5.5,5.48,3.3,1,RD,3740,GIA,"true"
LD02672541,09/07/2012,1174,0.48,Very Good,D,VVS2,73,72,Slightly Thick to Thick,Very Good,Excellent,None,None,4.38,4.3,3.14,1.02,PR,2446,GIA,"true"
LD02674409,10/07/2012,12683,1.51,Ideal,H,VS2,61.2,61,Medium to Slightly Thick,Excellent,Excellent,None,None,7.38,7.36,4.51,1,RD,8399,GIA,"true"
LD02760182,28/08/2012,17519,1.3,Ideal,F,VVS1,61.6,58,Medium to Medium,Excellent,Excellent,None,None,6.99,7.03,4.32,1.01,RD,13476,GIA,"true"
LD02735128,16/08/2012,469,0.3,Fair,E,VS1,61.1,62,Medium to Extremely Thick,Very Good,Very Good,None,None,4.22,4.27,2.59,1.01,RD,1563,GIA,"true"
LD02764257,30/08/2012,4472,0.8,Ideal,F,VS2,61.9,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.94,5.97,3.69,1.01,RD,5590,GIA,"true"
LD02737735,18/08/2012,1175,0.45,Ideal,H,VVS2,59.1,61,Medium to Medium,Excellent,Excellent,None,Strong,5,5.02,2.96,1,RD,2611,GIA,"true"
