sku,fetch_date,price,carat,cut,color,clarity,depth,tableth,girdle,symmetry,polish,culet,fluorescence,length,width,height,lnwdthratio,shape,pricePerCarat,certLab,certPresent
LD02734799,16/08/2012,3498,0.7,Very Good,D,VS2,63.7,59,Slightly Thick to Thick,Excellent,Excellent,None,None,5.6,5.56,3.55,1.01,RD,4997,GIA,"true"
LD02751775,25/08/2012,5932,1.01,Very Good,G,SI1,63,57,Slightly Thick to Thick,Excellent,Very Good,None,None,6.38,6.33,4.01,1.01,RD,5873,GIA,"true"
LD02678573,13/07/2012,13090,1.04,Very Good,D,VVS2,62.4,56,Thin to Slightly Thick,Very Good,Excellent,None,Strong,6.43,6.49,4.03,1.01,RD,12587,GIA,"true"
LD02683597,15/07/2012,1328,0.5,Good,E,SI1,65.6,57,Medium to Very Thick,Very Good,Excellent,None,None,4.93,4.9,3.22,1.01,RD,2656,GIA,"true"
LD02747246,23/08/2012,8410,1.15,Ideal,I,VVS2,62.1,56,Medium to Slightly Thick,Excellent,Excellent,None,Faint,6.68,6.73,4.16,1.01,RD,7313,GIA,"true"
LD02667414,06/07/2012,14008,1.33,Ideal,F,VVS2,61.5,58,Medium to Medium,Excellent,Excellent,None,Medium,7.05,7.07,4.34,1,RD,10532,GIA,"true"
LD02665199,21/07/2012,1067,0.38,Ideal,F,VVS1,62,56,Medium to Slightly Thick,Excellent,Very Good,None,None,4.68,4.66,2.9,1,RD,2808,GIA,"true"
LD02704347,27/07/2012,5256,1.01,Very Good,I,SI1,62.4,60,Medium to Thick,Good,Good,None,None,6.36,6.33,3.96,1,RD,5204,GIA,"true"
LD02766471,01/09/2012,11500,1.11,Ideal,E,VVS2,61.9,58,Medium to Medium,Excellent,Excellent,None,Medium,6.65,6.62,4.11,1,RD,10360,GIA,"true"
LD02675721,11/07/2012,559,0.3,Very Good,E,VS2,59.5,59,Medium to Slightly Thick,Very Good,Very Good,Very Small,None,4.33,4.36,2.58,1.01,RD,1863,GIA,"false"
LD02673872,10/07/2012,745,0.4,Ideal,I,VS2,61.1,59,Medium to Slightly Thick,Excellent,Excellent,None,None,4.76,4.74,2.9,1,RD,1863,GIA,"true"
LD02709727,01/08/2012,2512,0.7,Very Good,G,SI1,62.4,58,Medium to Thick,Very Good,Very Good,None,Faint,5.63,5.6,3.5,1.01,RD,3589,GIA,"true"
LD02739888,19/08/2012,1547,0.52,Ideal,E,SI1,62.4,57,Medium to Slightly Thick,Excellent,Excellent,None,Faint,5.14,5.16,3.21,1,RD,2975,GIA,"true"
LD02719188,07/08/2012,4855,0.9,Very Good,F,VS2,60.5,59,Thick to Extremely Thick,Very Good,Excellent,None,None,8.07,5.44,3.29,1.48,PS,5394,GIA,"true"
LD02683605,15/07/2012,1185,0.51,Ideal,G,SI2,60.1,60,Thin to Medium,Excellent,Excellent,None,None,5.22,5.21,3.13,1,RD,2324,GIA,"true"
LD02766696,01/09/2012,4156,0.9,Ideal,F,SI1,62.6,58,Slightly Thick to Slightly Thick,Excellent,Very Good,None,Medium,6.16,6.12,3.84,1.01,RD,4618,GIA,"true"
LD02666887,05/07/2012,643,0.34,Ideal,G,VS2,62.8,55,Medium to Medium,Excellent,Excellent,None,None,4.48,4.45,2.8,1.01,RD,1891,GIA,"true"
LD02744289,25/08/2012,2324,0.62,Signature Ideal,G,VS2,61.4,55,Thin to Medium,Excellent,Excellent,None,Medium Blue,5.49,5.53,3.38,1.01,RD,3748,GIA,"true"
LD02697759,24/07/2012,1323,0.7,Good,I,SI2,81.4,78,Medium to Thick,Good,Good,None,None,4.77,4.54,3.7,1.05,PR,1890,GIA,"true"
LD02682088,14/07/2012,1432,0.7,Good,J,SI1,64.1,62,Slightly Thick to Very Thick,Very Good,Very Good,None,Faint,5.46,5.51,3.52,1.01,RD,2046,GIA,"true"
LD02696537,22/07/2012,1517,0.52,Ideal,F,SI1,59.9,58,Thin to Medium,Excellent,Excellent,None,None,5.24,5.23,3.14,1,RD,2917,GIA,"true"
LD02698998,25/07/2012,1625,0.7,Good,J,VS1,66.2,57,Thin to Very Thick,Good,Very Good,None,None,5.47,5.51,3.63,1.01,RD,2321,GIA,"true"
LD02761956,30/08/2012,5330,1.02,Ideal,G,SI2,59.1,60,Medium to Medium,Excellent,Very Good,None,None,6.57,6.61,3.9,1.01,RD,5225,GIA,"true"
LD02761456,29/08/2012,488,0.3,Ideal,D,SI2,62.6,56,Medium to Slightly Thick,Excellent,Excellent,None,None,4.31,4.3,2.7,1,RD,1627,GIA,"true"
LD02745795,23/08/2012,3247,0.63,Ideal,E,VVS2,60.9,59,Medium to Medium,Excellent,Excellent,Pointed,None,5.56,5.53,3.38,1.01,RD,5154,GIA,"true"
LD02691670,19/07/2012,1484,0.5,Very Good,H,VS2,63.5,60,Very Thin to Thick,Very Good,Very Good,None,None,5.01,4.98,3.17,1.01,RD,2968,GIA,"true"
LD02658654,30/06/2012,827,0.4,Ideal,D,SI1,62.7,56,Medium to Slightly Thick,Excellent,Very Good,None,Faint,4.69,4.72,2.95,1.01,RD,2068,GIA,"true"
LD02676965,11/07/2012,328916,8.49,Good,H,VS2,59.1,73,Very Thin to Thick,Good,Very Good,Small,None,14.42,10.64,6.29,1.36,EC,38742,GIA,"true"
LD02766735,01/09/2012,4041,0.96,Very Good,G,SI2,62.6,61,Medium to Thick,Very Good,Excellent,None,None,6.24,6.2,3.9,1.01,RD,4209,GIA,"true"
LD02735231,18/08/2012,518,0.36,Very Good,D,SI2,64.3,55,Medium to Thick,Very Good,Very Good,None,None,4.46,4.49,2.88,1.01,RD,1439,GIA,"true"
LD02681303,17/07/2012,609,0.35,Very Good,E,VS1,61.6,58,Slightly Thick to Slightly Thick,Excellent,Good,None,Medium,4.54,4.51,2.79,1.01,RD,1740,GIA,"true"
LD02729695,11/08/2012,3241,0.81,Very Good,F,VS2,68.2,64,Medium to Very Thick,Good,Excellent,None,None,5.63,5.17,3.53,1.09,CU,4001,GIA,"true"
LD02764946,31/08/2012,2224,0.51,Ideal,G,VVS1,62.3,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.1,5.13,3.19,1.01,RD,4361,GIA,"true"
LD02753523,28/08/2012,661,0.43,Ideal,I,VS1,61.6,57,Medium to Medium,Excellent,Excellent,None,Strong Blue,4.85,4.88,3,1.01,RD,1537,GIA,"true"
LD02707201,31/07/2012,717,0.32,Ideal,E,VVS1,61.6,56,Medium to Medium,Very Good,Excellent,None,Medium,4.39,4.43,2.72,1.01,RD,2241,GIA,"true"
LD02732195,14/08/2012,14363,1,Ideal,D,VVS2,61.6,60,Thin to Slightly Thick,Excellent,Excellent,None,Faint,6.43,6.38,3.95,1.01,RD,14363,GIA,"true"
LD02671246,08/07/2012,640,0.32,Ideal,H,VVS1,61.8,56,Medium to Slightly Thick,Excellent,Very Good,None,None,4.41,4.39,2.72,1,RD,2000,GIA,"true"
LD02679468,13/07/2012,3556,0.7,Ideal,F,VS2,61.5,58,Medium to Slightly Thick,Excellent,Excellent,None,None,5.7,5.67,3.5,1.01,RD,5080,GIA,"true"
LD02668241,08/07/2012,1012,0.4,Very Good,F,VVS2,63.2,57,Slightly Thick to Thick,Very Good,Very Good,Pointed,None,4.68,4.64,2.95,1.01,RD,2530,GIA,"false"
LD02680975,17/07/2012,2336,0.5,Ideal,G,VVS1,61.8,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.08,5.06,3.14,1,RD,4672,GIA,"true"
LD02717167,05/08/2012,786,0.32,Very Good,F,VVS1,62.6,61,Slightly Thick to Thick,Excellent,Excellent,None,None,4.32,4.35,2.71,1.01,RD,2456,GIA,"true"
LD02681717,13/07/2012,11201,1.12,Ideal,F,VVS2,61.8,57,Slightly Thick to Slightly Thick,Excellent,Excellent,None,Medium,6.66,6.68,4.12,1,RD,10001,GIA,"true"
LD02698410,24/07/2012,867,0.43,Good,F,VVS1,67.6,74,Thick to Very Thick,Very Good,Very Good,Very Small,None,5.27,3.73,2.52,1.41,EC,2016,GIA,"true"
LD02685386,17/07/2012,626,0.3,Ideal,G,VVS2,63.2,57,Medium to Slightly Thick,Excellent,Excellent,None,None,4.24,4.26,2.69,1,RD,2087,GIA,"true"
LD02702873,27/07/2012,6397,1.03,Good,G,SI1,61.7,63,Medium to Thick,Very Good,Good,None,None,6.47,6.41,3.98,1.01,RD,6211,GIA,"true"
LD02688834,18/07/2012,811,0.3,Ideal,F,IF,62.1,59,Medium to Slightly Thick,Excellent,Excellent,Pointed,None,4.3,4.28,2.67,1,RD,2703,GIA,"true"
LD02724141,09/08/2012,3632,0.9,Very Good,H,SI2,63.2,58,Thick to Thick,Good,Excellent,None,Faint,6.12,6.06,3.85,1.01,RD,4036,GIA,"true"
LD02762177,29/08/2012,5398,1.01,Ideal,H,SI2,59.7,60,Medium to Slightly Thick,Excellent,Excellent,None,None,6.53,6.51,3.89,1,RD,5345,GIA,"true"
LD02691010,19/07/2012,8959,1.1,Ideal,H,VVS2,62.1,57,Medium to Slightly Thick,Excellent,Excellent,None,None,6.57,6.62,4.1,1.01,RD,8145,GIA,"true"
LD02698277,24/07/2012,3041,0.72,Fair,F,VS2,83,69,Very Thick to Extremely Thick,Very Good,Good,None,None,4.63,4.58,3.8,1.01,PR,4224,GIA,"true"
LD02720138,08/08/2012,2214,0.5,Ideal,D,VS2,62.2,57,Medium to Slightly Thick,Excellent,Excellent,None,Faint,5.1,5.07,3.16,1.01,RD,4428,GIA,"true"
LD02767791,01/09/2012,3987,0.7,Ideal,E,VS2,62.2,56,Medium to Slightly Thick,Excellent,Excellent,None,None,5.67,5.66,3.52,1,RD,5696,GIA,"true"
LD02676590,11/07/2012,1525,0.51,Ideal,E,SI1,61.8,58,Medium to Slightly Thick,Excellent,Excellent,None,Medium,5.14,5.12,3.17,1,RD,2990,GIA,"true"
LD02708054,31/07/2012,3896,0.9,Very Good,H,SI2,61.6,58,Slightly Thick to Thick,Very Good,Excellent,Very Small,None,6.14,6.12,3.78,1,RD,4329,GIA,"true"
LD02646005,10/07/2012,1861,0.5,Ideal,E,VS1,62.1,56,Medium to Slightly Thick,Very Good,Excellent,None,Strong,5.09,5.11,3.17,1,RD,3722,GIA,"true"
LD02686403,17/07/2012,6273,1.15,Ideal,J,VS2,61.8,58,Thin to Medium,Excellent,Excellent,None,Medium,6.73,6.74,4.17,1,RD,5455,GIA,"true"
LD02729880,11/08/2012,5257,0.96,Ideal,H,SI2,61.8,55,Thin to Medium,Excellent,Excellent,None,None,6.32,6.36,3.92,1.01,RD,5476,GIA,"true"
LD02735932,16/08/2012,1607,0.5,Ideal,F,SI2,62.6,57,Medium to Medium,Excellent,Very Good,None,Faint,5.06,5.08,3.17,1,RD,3214,GIA,"true"
LD02706651,29/07/2012,2085,0.71,Ideal,G,SI2,58.7,61,Thin to Medium,Excellent,Excellent,None,Strong,5.84,5.88,3.44,1.01,RD,2937,GIA,"true"
LD02712103,02/08/2012,1223,0.61,Very Good,G,SI1,59.6,62,Thin to Medium,Very Good,Excellent,None,None,7.41,4.93,2.94,1.5,PS,2005,GIA,"true"
LD02735887,16/08/2012,1873,0.74,Very Good,I,VS2,65,62,Very Thick to Extremely Thick,Excellent,Excellent,None,None,5.44,4.87,3.17,1.12,CU,2531,GIA,"true"
LD02694161,20/07/2012,1598,0.6,Ideal,I,VS2,62.2,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.4,5.38,3.35,1,RD,2663,GIA,"true"
LD02701488,26/07/2012,8734,1.05,Very Good,F,VS1,63.9,56,Medium to Thick,Very Good,Very Good,None,Medium,6.35,6.41,4.08,1.01,RD,8318,GIA,"true"
LD02661380,01/07/2012,552,0.31,Ideal,D,SI1,62.1,58,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.36,4.34,2.7,1,RD,1781,GIA,"true"
LD02767628,01/09/2012,2026,0.7,Ideal,I,SI1,61.6,57,Thin to Slightly Thick,Very Good,Very Good,None,None,5.71,5.68,3.51,1.01,RD,2894,GIA,"true"
LD02734785,16/08/2012,3352,0.7,Very Good,E,VS2,61.7,57,Medium to Thick,Very Good,Very Good,None,None,5.7,5.66,3.51,1.01,RD,4789,GIA,"true"
LD02712759,03/08/2012,5086,1.01,Very Good,F,SI2,64.3,56,Slightly Thick to Thick,Excellent,Excellent,None,None,6.29,6.26,4.03,1,RD,5036,GIA,"true"
LD02671271,08/07/2012,1604,0.6,Very Good,I,VS2,63.9,57,Thin to Slightly Thick,Excellent,Excellent,None,None,5.32,5.31,3.4,1,RD,2673,GIA,"true"
LD02744285,25/08/2012,1464,0.53,Signature Ideal,E,VS2,69.8,71,Medium to Slightly Thick,Very Good,Excellent,None,None,4.6,4.51,3.15,1.02,PR,2762,GIA,"true"
LD02726100,10/08/2012,6165,0.9,Good,G,SI1,58.7,61,Thin to Medium,Good,Very Good,None,Medium Blue,6.3,6.32,3.7,1,RD,6850,GIA,"true"
LD02732569,16/08/2012,2570,0.7,Signature Ideal,I,VS2,71.5,68,Thin to Slightly Thick,Very Good,Very Good,None,None,5.06,4.85,3.47,1.04,PR,3671,GIA,"true"
LD02702856,27/07/2012,9692,1.22,Ideal,G,VS2,62.5,56,Medium to Medium,Excellent,Excellent,None,Faint,6.82,6.83,4.26,1,RD,7944,GIA,"true"
LD02740471,21/08/2012,619,0.41,Ideal,E,SI2,62,57,Medium to Slightly Thick,Excellent,Excellent,None,Medium,4.78,4.75,2.95,1.01,RD,1510,GIA,"true"
LD02746624,23/08/2012,1857,0.51,Ideal,H,VVS2,60.1,60,Medium to Medium,Excellent,Excellent,None,None,5.2,5.18,3.12,1,RD,3641,GIA,"true"
LD02688447,18/07/2012,733,0.3,Very Good,E,VVS1,63.4,57,Slightly Thick to Thick,Very Good,Very Good,None,None,4.24,4.26,2.69,1,RD,2443,GIA,"true"
LD02724286,09/08/2012,2292,0.7,Ideal,F,SI2,59,60,Medium to Medium,Very Good,Excellent,None,None,5.83,5.81,3.43,1,RD,3274,GIA,"true"
LD02743560,22/08/2012,23353,1.51,Very Good,D,VS1,64,58,Slightly Thick to Thick,Excellent,Excellent,None,None,7.21,7.19,4.61,1,RD,15466,GIA,"true"
LD02657439,07/07/2012,749,0.3,Ideal,E,VVS2,62.2,53,Thin to Medium,Very Good,Excellent,None,None,4.31,4.34,2.69,1.01,RD,2497,GIA,"true"
LD02701466,26/07/2012,924,0.38,Very Good,H,VS1,70.1,69,Slightly Thick to Slightly Thick,Excellent,Excellent,None,None,4.02,4,2.8,1.01,PR,2432,GIA,"true"
LD02661697,01/07/2012,1556,0.51,Ideal,J,VVS1,62.1,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.12,5.09,3.17,1.01,RD,3051,GIA,"true"
LD02732336,14/08/2012,319,0.26,Very Good,G,VS2,68.6,73,Thick to Thick,Good,Very Good,None,None,3.62,3.52,2.42,1.03,PR,1227,GIA,"true"
LD02656385,07/07/2012,752,0.31,Very Good,E,VVS2,63.8,54,Medium to Slightly Thick,Excellent,Very Good,None,None,4.29,4.33,2.75,1.01,RD,2426,GIA,"true"
LD02594061,07/07/2012,40636,2.07,Ideal,F,VVS2,61.8,57,Medium to Slightly Thick,Excellent,Excellent,None,Faint,8.16,8.14,5.04,1,RD,19631,GIA,"true"
LD02725580,09/08/2012,1644,0.58,Good,E,VVS2,79.7,72,Very Thick to Very Thick,Very Good,Very Good,None,None,4.54,4.35,3.47,1.04,PR,2834,GIA,"true"
LD02721706,08/08/2012,945,0.5,Very Good,E,SI2,59,64,Very Thick to Very Thick,Very Good,Very Good,None,None,6.19,4.43,2.62,1.4,OV,1890,GIA,"true"
LD02715721,04/08/2012,4083,0.8,Ideal,G,VS2,62.2,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.91,5.95,3.69,1.01,RD,5104,GIA,"true"
LD02749358,24/08/2012,11083,1.51,Good,H,VVS1,76.2,73,Thick to Very Thick,Very Good,Excellent,None,None,6,5.98,4.56,1,PR,7340,GIA,"true"
LD02730497,12/08/2012,4941,1.03,Ideal,H,SI2,61.5,60,Medium to Slightly Thick,Excellent,Excellent,None,None,6.49,6.45,3.98,1.01,RD,4797,GIA,"true"
LD02718209,05/08/2012,763,0.41,Ideal,I,VS2,61.5,58,Thin to Slightly Thick,Excellent,Excellent,None,Faint,4.79,4.81,2.95,1,RD,1861,GIA,"true"
LD02745698,23/08/2012,3227,0.64,Ideal,F,VVS1,61.7,59,Medium to Slightly Thick,Excellent,Excellent,Pointed,None,5.55,5.52,3.41,1.01,RD,5042,GIA,"true"
LD02724304,09/08/2012,2313,0.51,Ideal,D,VS1,62.3,57,Thin to Slightly Thick,Excellent,Excellent,None,None,5.14,5.12,3.2,1,RD,4535,GIA,"true"
LD02673984,10/07/2012,4399,0.91,Very Good,E,SI2,64.3,56,Medium to Thick,Excellent,Very Good,None,None,6.08,6.05,3.9,1,RD,4834,GIA,"true"
LD02685438,17/07/2012,497,0.3,Very Good,H,VS1,64.7,57,Slightly Thick to Thick,Excellent,Excellent,None,None,4.19,4.22,2.72,1.01,RD,1657,GIA,"true"
LD02742141,21/08/2012,3633,0.77,Ideal,F,SI1,61.1,57,Thin to Medium,Excellent,Excellent,None,None,5.9,5.93,3.62,1.01,RD,4718,GIA,"true"
LD02606904,05/07/2012,789,0.4,Ideal,F,SI1,62.3,58,Medium to Slightly Thick,Excellent,Excellent,None,None,4.69,4.72,2.93,1.01,RD,1973,GIA,"true"
LD02708932,01/08/2012,15842,1.17,Ideal,E,VVS1,61.5,59,Medium to Medium,Excellent,Excellent,None,None,6.77,6.79,4.17,1,RD,13540,GIA,"true"
LD02753464,28/08/2012,662,0.38,Ideal,F,SI1,61.5,57,Thin to Slightly Thick,Excellent,Excellent,None,None,4.67,4.7,2.88,1.01,RD,1742,GIA,"true"
LD02696220,21/07/2012,1166,0.58,Very Good,H,SI2,73.6,74,Very Thick to Very Thick,Very Good,Excellent,None,None,4.53,4.49,3.31,1.01,PR,2010,GIA,"true"
LD02678447,12/07/2012,6333,1.01,Very Good,G,VVS2,69.5,73,Slightly Thick to Thick,Good,Very Good,None,None,5.69,5.67,3.94,1,PR,6270,GIA,"true"
LD02761565,29/08/2012,934,0.35,Ideal,D,VVS2,61,59,Medium to Slightly Thick,Excellent,Excellent,None,None,4.55,4.53,2.77,1,RD,2669,GIA,"true"
LD02646097,10/07/2012,1070,0.4,Very Good,E,VVS2,63.8,56,Medium to Thick,Very Good,Excellent,None,None,4.63,4.66,2.97,1.01,RD,2675,GIA,"true"
LD02753474,28/08/2012,477,0.32,Ideal,I,VVS2,62.1,55,Medium to Slightly Thick,Excellent,Excellent,None,Medium Blue,4.37,4.4,2.72,1.01,RD,1491,GIA,"true"
LD02750318,24/08/2012,2773,0.6,Ideal,E,VS1,62.4,58,Slightly Thick to Slightly Thick,Excellent,Excellent,None,None,5.4,5.39,3.36,1,RD,4622,GIA,"true"
LD02765753,31/08/2012,4739,1.01,Very Good,I,VVS2,68.1,74,Thin to Extremely Thick,Good,Excellent,None,Medium,6.01,5.27,3.59,1.14,PR,4692,GIA,"true"
LD02639690,01/07/2012,721,0.3,Very Good,F,VVS1,64.4,54,Slightly Thick to Thick,Excellent,Excellent,Pointed,None,4.22,4.19,2.71,1.01,RD,2403,GIA,"true"
LD02666560,05/07/2012,1808,0.5,Very Good,E,VS2,61.5,60,Slightly Thick to Thick,Very Good,Very Good,None,None,5.08,5.05,3.11,1.01,RD,3616,GIA,"true"
LD02742413,22/08/2012,4077,0.7,Very Good,E,VVS2,61.6,63,Thin to Medium,Very Good,Very Good,None,None,5.7,5.65,3.5,1.01,RD,5824,GIA,"true"
LD02705076,28/07/2012,4332,0.83,Ideal,F,SI1,62.5,55,Medium to Medium,Excellent,Excellent,None,None,6.04,6,3.77,1.01,RD,5219,GIA,"true"
LD02733403,15/08/2012,1577,0.51,Ideal,H,VS2,62.5,56,Medium to Slightly Thick,Excellent,Excellent,None,None,5.11,5.08,3.19,1.01,RD,3092,GIA,"true"
LD02699402,22/08/2012,2605,0.56,Ideal,D,VS1,59.9,61,Slightly Thick to Slightly Thick,Very Good,Very Good,Pointed,None,5.34,5.31,3.19,1.01,RD,4652,GIA,"true"
LD02664844,04/07/2012,1023,0.4,Ideal,F,VS1,62.4,56,Medium to Slightly Thick,Excellent,Excellent,None,None,4.72,4.7,2.94,1,RD,2558,GIA,"true"
LD02760858,29/08/2012,424,0.3,Ideal,D,SI2,62.1,57,Medium to Slightly Thick,Very Good,Very Good,None,None,4.28,4.26,2.65,1,RD,1413,GIA,"true"
LD02686610,17/07/2012,650,0.31,Ideal,D,VS2,62.2,56,Medium to Slightly Thick,Excellent,Very Good,None,Faint,4.36,4.34,2.71,1,RD,2097,GIA,"true"
LD02644975,11/07/2012,1474,0.41,Ideal,E,IF,60.4,59,Medium to Slightly Thick,Excellent,Excellent,None,None,4.81,4.82,2.91,1,RD,3595,GIA,"true"
LD02733881,15/08/2012,20088,1.71,Ideal,H,VVS1,62.4,57,Medium to Slightly Thick,Excellent,Excellent,None,None,7.63,7.59,4.75,1.01,RD,11747,GIA,"true"
LD02721861,08/08/2012,1393,0.54,Very Good,G,VS1,61.3,60,Thick to Very Thick,Excellent,Excellent,None,None,6.7,4.65,2.85,1.44,PS,2580,GIA,"true"
LD02669835,07/07/2012,653,0.37,Ideal,G,VS2,62.1,56,Medium to Slightly Thick,Excellent,Excellent,None,None,4.65,4.62,2.88,1.01,RD,1765,GIA,"true"
LD02747851,24/08/2012,454,0.3,Ideal,E,SI1,60.5,61,Thin to Slightly Thick,Very Good,Very Good,None,None,4.34,4.32,2.62,1,RD,1513,GIA,"true"
LD02700186,25/07/2012,465,0.3,Ideal,E,SI2,60.3,60,Medium to Slightly Thick,Very Good,Very Good,None,None,4.33,4.3,2.6,1.01,RD,1550,GIA,"true"
LD02643939,10/07/2012,1463,0.42,Ideal,E,IF,62.2,56,Medium to Slightly Thick,Excellent,Excellent,None,None,4.77,4.8,2.98,1.01,RD,3483,GIA,"true"
LD02747286,23/08/2012,5384,1.2,Very Good,H,SI1,57,62,Slightly Thick to Very Thick,Very Good,Excellent,Very Small,None,9.59,6.07,3.46,1.58,PS,4487,GIA,"true"
LD02705596,28/07/2012,2548,0.7,Very Good,G,SI1,64.1,54,Slightly Thick to Thick,Excellent,Excellent,None,Faint,5.61,5.56,3.58,1.01,RD,3640,GIA,"true"
LD02660427,01/07/2012,2835,0.9,Good,F,VS1,57.6,65,Thin to Very Thick,Very Good,Very Good,None,Medium,6.55,4.88,2.81,1.34,EC,3150,GIA,"true"
LD02711164,01/08/2012,909,0.34,Ideal,F,VVS1,61.9,59,Medium to Medium,Excellent,Excellent,None,None,4.48,4.49,2.78,1,RD,2674,GIA,"true"
LD02694680,21/07/2012,3271,0.7,Very Good,E,VS2,62.9,58,Slightly Thick to Thick,Excellent,Excellent,None,Very Strong,5.61,5.63,3.54,1,RD,4673,GIA,"true"
LD02705060,28/07/2012,2908,0.71,Very Good,E,VS2,64.2,57,Slightly Thick to Thick,Excellent,Excellent,None,Medium Yellow,5.6,5.58,3.59,1,RD,4096,GIA,"true"
LD02753588,28/08/2012,2031,0.5,Very Good,D,VS2,61,60,Medium to Slightly Thick,Excellent,Excellent,None,Faint,5.07,5.09,3.1,1,RD,4062,GIA,"true"
LD02739361,19/08/2012,2263,0.51,Ideal,F,VVS2,61,59,Medium to Medium,Excellent,Excellent,None,None,5.17,5.13,3.14,1.01,RD,4437,GIA,"true"
LD02768656,03/09/2012,554,0.3,Ideal,F,VS2,59.5,61,Medium to Slightly Thick,Excellent,Excellent,None,None,4.35,4.34,2.59,1,RD,1847,GIA,"true"
LD02684568,16/07/2012,2266,0.64,Ideal,F,SI1,62,57,Medium to Slightly Thick,Excellent,Excellent,None,None,5.56,5.53,3.43,1.01,RD,3541,GIA,"true"
LD02744546,23/08/2012,766,0.4,Ideal,E,SI1,62.7,57,Medium to Slightly Thick,Excellent,Excellent,None,None,4.68,4.7,2.94,1,RD,1915,GIA,"true"
LD02728899,11/08/2012,742,0.3,Ideal,F,VVS2,61.5,56,Medium to Medium,Excellent,Excellent,None,None,4.3,4.33,2.65,1.01,RD,2473,GIA,"true"
LD02663631,03/07/2012,2033,0.51,Ideal,G,VS1,62.4,58,Medium to Slightly Thick,Excellent,Excellent,None,None,5.07,5.1,3.17,1.01,RD,3986,GIA,"true"
LD02644587,10/07/2012,1154,0.4,Ideal,E,VVS2,61.5,57,Thin to Medium,Excellent,Excellent,None,None,4.75,4.76,2.92,1,RD,2885,GIA,"true"
LD02743436,22/08/2012,5579,0.9,Ideal,G,VS2,62.4,60,Medium to Slightly Thick,Very Good,Excellent,None,Faint,6.17,6.13,3.83,1.01,RD,6199,GIA,"true"
LD02694995,21/07/2012,857,0.34,Ideal,D,VS1,62.1,57,Medium to Slightly Thick,Excellent,Excellent,None,Faint,4.5,4.48,2.79,1,RD,2521,GIA,"true"
LD02675361,11/07/2012,4301,0.57,Very Good,D,IF,61.3,56,Medium to Slightly Thick,Excellent,Excellent,None,Faint,5.37,5.35,3.29,1,RD,7546,GIA,"true"
LD02733835,15/08/2012,3192,0.7,Ideal,F,SI1,62.5,56,Medium to Slightly Thick,Excellent,Excellent,None,None,5.71,5.67,3.56,1.01,RD,4560,GIA,"true"
LD02710977,01/08/2012,2880,0.81,Very Good,H,SI1,66.7,60,Thick to Very Thick,Very Good,Excellent,None,None,5.29,5.11,3.41,1.04,CU,3556,GIA,"true"
LD02677439,12/07/2012,622,0.26,Ideal,D,VS1,62.2,56,Thin to Slightly Thick,Very Good,Excellent,None,None,4.09,4.08,2.54,1,RD,2392,GIA,"true"
LD02747111,23/08/2012,5897,1.01,Good,G,VS1,78.1,63,Medium to Very Thick,Very Good,Very Good,None,Faint,5.38,5.31,4.15,1.01,PR,5839,GIA,"true"
LD02744955,28/08/2012,7854,1.02,Ideal,F,VS2,62.2,56,Medium to Medium,Excellent,Excellent,None,Faint,6.42,6.46,4,1.01,RD,7700,GIA,"true"
LD02763783,30/08/2012,666,0.31,Ideal,E,VS1,61.6,55,Medium to Slightly Thick,Excellent,Excellent,None,None,4.39,4.36,2.69,1.01,RD,2148,GIA,"true"
LD02708565,04/08/2012,5163,1.2,Very Good,I,VS2,68.1,65,Very Thick to Very Thick,Very Good,Excellent,None,Medium Blue,5.75,5.6,3.81,1.03,AS,4303,GIA,"true"
LD02743337,22/08/2012,6982,1.01,Very Good,G,VS2,63.3,54,Slightly Thick to Thick,Very Good,Excellent,None,None,6.35,6.32,4.01,1,RD,6913,GIA,"true"
LD02750529,24/08/2012,581,0.3,Ideal,G,VS1,61.7,57,Thin to Medium,Excellent,Excellent,None,None,4.32,4.31,2.66,1,RD,1937,GIA,"true"
LD02734229,15/08/2012,9684,1.59,Ideal,J,SI1,60.7,60,Medium to Medium,Excellent,Excellent,None,Faint,7.52,7.54,4.57,1,RD,6091,GIA,"true"
LD02685936,22/08/2012,8824,1.18,Ideal,G,VS2,61.8,57,Medium to Slightly Thick,Excellent,Very Good,Pointed,None,6.78,6.74,4.18,1.01,RD,7478,GIA,"true"
LD02738144,18/08/2012,484,0.3,Very Good,E,VS2,62.8,58,Slightly Thick to Thick,Good,Very Good,None,None,4.19,4.22,2.64,1.01,RD,1613,GIA,"true"
LD02677145,11/07/2012,5901,1.01,Very Good,G,VVS1,73.5,68,Thick to Very Thick,Very Good,Excellent,None,None,5.42,5.27,3.87,1.03,PR,5843,GIA,"true"
LD02707431,31/07/2012,991,0.56,Fair,J,SI1,48,59,Thin to Thick,Very Good,Very Good,None,None,5.47,6.18,2.97,0.89,HS,1770,GIA,"true"
LD02719915,07/08/2012,569,0.3,Ideal,E,VS2,62.2,57,Medium to Slightly Thick,Very Good,Excellent,None,None,4.29,4.27,2.66,1,RD,1897,GIA,"true"
