fetch_date,sku,price
01/07/2012,LD02662166,1323
01/07/2012,LD02660215,1363
01/07/2012,LD02661826,1376
01/07/2012,LD02660051,1775
01/07/2012,LD02653006,1944
01/07/2012,LD02652709,1317
01/07/2012,LD02659861,1452
01/07/2012,LD02661898,1761
01/07/2012,LD02660109,1888
01/07/2012,LD02661035,1955
01/07/2012,LD02650780,2124
01/07/2012,LD02652597,2223
01/07/2012,LD02652785,2442
01/07/2012,LD02613186,2530
01/07/2012,LD02582500,2710
01/07/2012,LD02661291,2893
01/07/2012,LD02653360,2976
01/07/2012,LD02640375,3098
01/07/2012,LD02658799,3265
01/07/2012,LD02659800,1773
01/07/2012,LD02660004,2699
01/07/2012,LD02653313,1895
01/07/2012,LD02659802,2051
01/07/2012,LD02661236,2637
01/07/2012,LD02660488,1565
01/07/2012,LD02653282,2294
01/07/2012,LD02653494,2549
01/07/2012,LD02660478,1468
01/07/2012,LD02659755,1567
01/07/2012,LD02653646,2066
01/07/2012,LD02660694,2067
01/07/2012,LD02627461,2149
01/07/2012,LD02658806,2719
01/07/2012,LD02639403,1564
01/07/2012,LD02659664,1745
01/07/2012,LD02660689,2183
01/07/2012,LD02659894,2338
01/07/2012,LD02653123,2820
01/07/2012,LD02652644,1027
01/07/2012,LD02635342,1397
01/07/2012,LD02655803,1414
01/07/2012,LD02660499,1475
01/07/2012,LD02655522,1586
01/07/2012,LD02661107,1586
01/07/2012,LD02650777,1590
01/07/2012,LD02660891,2144
01/07/2012,LD02633616,1407
01/07/2012,LD02635303,1518
01/07/2012,LD02661697,1556
01/07/2012,LD02660124,2023
01/07/2012,LD02660742,2277
01/07/2012,LD02653114,2632
01/07/2012,LD02660649,886
01/07/2012,LD02652773,964
01/07/2012,LD02618235,1039
01/07/2012,LD02658700,1056
01/07/2012,LD02661568,1101
01/07/2012,LD02662285,1135
01/07/2012,LD02660664,1150
01/07/2012,LD02655723,1196
01/07/2012,LD02631480,1254
01/07/2012,LD02661600,1257
01/07/2012,LD02652846,1294
01/07/2012,LD02659912,1311
01/07/2012,LD02660728,1322
01/07/2012,LD02660645,1352
01/07/2012,LD02660602,1355
01/07/2012,LD02659910,1421
01/07/2012,LD02622833,1438
01/07/2012,LD02653032,1442
01/07/2012,LD02661757,1459
01/07/2012,LD02652817,1481
01/07/2012,LD02601426,1488
01/07/2012,LD02653381,1610
01/07/2012,LD02655668,1613
01/07/2012,LD02662190,1620
01/07/2012,LD02660015,1694
01/07/2012,LD02661544,1816
01/07/2012,LD02659989,1872
01/07/2012,LD02660638,1892
01/07/2012,LD02653044,2007
01/07/2012,LD02652859,2121
01/07/2012,LD02653587,2154
01/07/2012,LD02639854,2167
01/07/2012,LD02653239,2239
